#    fid   ftype distance          x1          y1          z1
       0       1 0.043961   -56.17302     2.59568    -0.04396
       0       1 0.038279   -56.02100    15.93991    -0.03828
       0       1 0.035264   -47.39419    15.84782    -0.03526
       0       1 0.041091   -47.52207     3.40189    -0.04109
       0       1 0.015224    54.42771     2.20466     0.01522
       0       1 0.008882    46.82664     2.28575     0.00888
       0       1 0.019765    47.14416    18.84159     0.01977
       0       1 0.024630    52.46956    18.78480     0.02463
       6       1 0.009999   -11.16940    25.23179    27.78724
       6       1 0.033330    -6.80418    25.41719    28.28764
       6       1 0.032744    -5.96624    25.46169    17.76386
       6       1 0.026724    -5.96799    25.46763    11.94266
       6       1 0.021694   -11.07115    25.24865    11.93644
       6       1 0.016244   -11.01536    25.24612    17.85640
       1       2 0.033032   -22.77450     1.26007     1.25242
       1       2 0.061165   -21.04957     7.92960     1.26045
       1       2 0.185788   -12.17383    18.34341     0.39171
       1       2 0.072434    -6.27314    21.12589     0.08162
       1       2 0.053042    -1.25250    21.99249     1.38363
       1       2 0.087748    22.66704     1.09800     0.97154
       4       2 0.092686   -30.33322     3.73288    26.12463
       4       2 0.188920   -26.09945    15.52666    25.25992
       4       2 0.068012   -10.18819    28.14444    26.73459
       4       2 0.028871     0.57989    29.78562    26.48486
       4       2 0.024373    -0.35155    29.79360    20.61628
       4       2 0.003526    -4.59035    29.47696    20.61077
       4       2 0.016786    13.72677    26.58363    28.36283
       4       2 0.153154    20.49303    22.13991    28.56807
       4       2 0.041710    27.24510    13.20641    27.63095
       4       2 0.004689    28.84815     9.35061    28.36035
       4       2 0.035219    27.36872    12.94791    23.80250
       4       2 0.073354    16.80357    24.87529    25.97880
       5       1 0.040087    27.69744     4.60122    29.95991
       5       1 0.018833    21.00710    18.32881    29.98117
       5       1 0.002259     7.91008    26.55592    30.00226
       5       1 0.017592    -6.79640    26.71283    30.01759
       5       1 0.019456   -19.78649    20.12924    30.01946
       5       1 0.013404   -26.90474     8.31674    30.01340
       5       1 0.075333   -28.48537     3.97045    30.07533
       5       1 0.020971   -28.13983     6.45479    30.02097
